EXPECTED_PACE,SUM_ORTG_30,SUM_DRTG_30,SUM_EFG_30,SUM_FT_RATE_30,SUM_PTS_30,SUM_PTS_10,PACE_X_EFG,TOTAL,GAME_DATE,HOME_TEAM,AWAY_TEAM
99.74200000000002,216.39137899285447,214.341038202667,1.0700059152316235,0.3605802829571336,215.475,223.71428571428572,106.7245299970326,223,2022-02-14,LAC,GSW
98.268,209.3832989316332,217.3388186471482,0.991407105956248,0.375744446093639,205.125,211.42857142857144,97.42359348810858,250,2022-02-14,NYK,OKC
102.89975000000001,223.6640079900843,223.58752052844713,1.08100945950753,0.3687306505696756,230.475,234.71428571428572,111.23560313095996,246,2022-02-15,MIN,CHA
100.64975,221.53273233639135,213.68837122124103,1.0412770909670508,0.40509257617135125,223.2,238.0,104.80427888656092,230,2022-02-15,NOP,MEM
100.55075000000001,222.3945403296804,224.28264139938653,1.0639820868737861,0.3957163956770172,224.575,230.85714285714283,106.98419682172437,247,2022-02-15,MIL,IND
97.509,222.5853264342789,212.1326437849723,1.0818170799986389,0.3900388014920907,216.0,217.0,105.48690165358728,206,2022-02-15,MIA,DAL
98.38725,225.3019029837895,218.0911930797988,1.0890968305533035,0.4023233099831597,221.325,213.71428571428572,107.1532421418555,240,2022-02-15,ATL,CLE
100.146,221.19192566326853,215.46361322289496,1.0778564786987248,0.3621263565777655,221.125,229.57142857142858,107.94301491576249,199,2022-02-15,PHX,LAC
98.57775,219.64105676064224,210.43566503985022,1.0531540399821446,0.42255179003840637,215.9,220.85714285714283,103.81755566484985,222,2022-02-15,PHI,BOS
101.113,222.46921966692446,227.27528469355218,1.084340297935101,0.39400757175915113,224.85000000000002,232.57142857142858,109.64090054511186,243,2022-02-16,CHI,SAC
100.01775,217.4039927992181,225.17415031496637,1.0535574187727677,0.4016965324705566,217.4,221.42857142857144,105.37444252145998,239,2022-02-16,ORL,ATL
100.935,224.76579523576513,218.4841503774778,1.098954618465493,0.3976486791253436,226.35,228.57142857142856,110.92298441481454,207,2022-02-16,LAL,UTA
101.17249999999999,222.74047766090786,221.07008071050012,1.0544131237033985,0.3742350422340516,226.27499999999998,242.71428571428572,106.67761175788206,194,2022-02-16,MIN,TOR
100.971,213.8813103254664,219.43222924735767,1.0209584646693934,0.33389226050858045,216.2,216.71428571428572,103.08719713613333,220,2022-02-16,OKC,SAS
99.6525,222.1831237497778,216.0392768560278,1.103914174263363,0.36612503776790817,221.625,225.42857142857144,110.00780725077978,233,2022-02-16,GSW,DEN
99.16050000000001,218.47496250620685,221.31426152549415,1.033433496894673,0.3939084607364204,216.05,216.28571428571428,102.47578226882423,217,2022-02-16,NYK,BKN
101.086,220.04628066868628,216.28605078902586,1.045447206721616,0.3850809890516982,222.39999999999998,231.14285714285714,105.68007633866128,242,2022-02-16,MEM,POR
99.55075,217.96581372697727,229.42559344086285,1.0420188340458645,0.3999873982852098,217.35000000000002,213.14285714285714,103.73375644339134,221,2022-02-16,IND,WAS
100.14,213.48345072677625,215.57464336143227,1.0215750086667814,0.3956520763648502,212.95,218.0,102.30052136789149,223,2022-02-16,BOS,DET
101.37275,222.14916793672725,222.85656566331096,1.0913029245501626,0.40075080712698535,225.35,224.42857142857142,110.6283785446925,245,2022-02-16,PHX,HOU
97.99875,220.4785999147466,214.97264289457166,1.0557481683968417,0.41240899361877403,215.575,219.85714285714286,103.46200081767999,243,2022-02-17,NOP,DAL
100.9225,216.39609097404033,228.89504389886702,1.074637625015387,0.39439726612660964,218.75,217.0,108.4551157106154,253,2022-02-17,LAC,HOU
100.42500000000001,223.47232639816062,219.79010251315475,1.0856443807969398,0.37518343151235856,223.5,220.71428571428572,109.02583694153269,218,2022-02-17,CHA,MIA
99.76775,222.0991981407689,217.4557103478303,1.0682865568971625,0.4294877775680801,221.925,225.42857142857142,106.58054613687689,243,2022-02-17,MIL,PHI
99.88775000000001,219.8173424310852,226.03494649120995,1.0535676767995936,0.39472241738048625,219.175,208.57142857142856,105.23850470823862,220,2022-02-17,BKN,WAS
99.7595,216.84014103350253,218.27643774750754,1.0640560969299342,0.37670156887262685,215.625,218.85714285714286,106.14970420168177,227,2022-02-24,POR,GSW
99.77250000000001,222.32565551658004,215.88573477454435,1.0650511488740475,0.38849277343724864,221.1,220.57142857142856,106.26281575103592,235,2022-02-24,BKN,BOS
100.55625,220.79845029528218,225.8947294084207,1.0856185042197088,0.3877188179614997,222.675,230.0,109.16572571494311,238,2022-02-24,SAC,DEN
99.46549999999999,214.71153793897588,217.7640010754898,1.038534917341631,0.38401512821610834,212.875,207.71428571428572,103.29839482084398,209,2022-02-24,DET,CLE
102.70250000000001,224.25288421857712,214.95654834432435,1.0604467804079083,0.3925280094756683,231.075,246.57142857142856,108.91053546484322,233,2022-02-24,MIN,MEM
100.49475000000001,215.7957678500124,212.75613872150439,1.0335636607338594,0.35552635835030544,216.47500000000002,220.85714285714286,103.86772169453403,228,2022-02-24,OKC,PHX
99.72,229.47833731426715,226.7750357756632,1.1078790779721266,0.41586060001782943,228.575,235.57142857142856,110.47770165538046,220,2022-02-24,CHI,ATL
99.83924999999999,224.0054616105831,215.88572646305408,1.0697907588542095,0.4007133046503564,223.475,234.71428571428572,106.80710702093512,219,2022-02-25,PHX,NOP
101.0505,216.78044838328128,219.62715038977382,1.0682997888833743,0.3609871530009041,219.125,222.28571428571428,107.95222781655941,207,2022-02-25,LAL,LAC
101.251,221.8029396712508,221.0406856726496,1.0552487137992628,0.35741576287519405,224.64999999999998,225.85714285714283,106.84498752088916,218,2022-02-25,CHA,TOR
100.45474999999999,220.64385605891925,224.40337193965422,1.058677888011922,0.3644466778577283,221.7,218.85714285714286,106.34922257076562,310,2022-02-25,WAS,SAS
97.4795,219.88508661501749,216.63855136576302,1.0498918706953466,0.3970608577370509,213.25,222.28571428571428,102.34293460944704,215,2022-02-25,NYK,MIA
98.11925,227.26718466712333,213.5908285036914,1.0995306280431176,0.40911580534002145,222.175,224.85714285714286,107.88512057561967,223,2022-02-25,UTA,DAL
100.76850000000002,220.81295212682141,219.2179013091656,1.0587716238340035,0.4270982119145551,223.075,225.57142857142856,106.6908283763168,235,2022-02-25,MIN,PHI
100.13374999999999,211.72416417837596,224.15639120287548,1.0093945946511866,0.36527254958221056,212.4,214.0,101.07446599215325,254,2022-02-25,IND,OKC
101.62049999999999,212.68738739724608,230.45242985384243,1.053291904914004,0.4041453599969915,216.675,214.0,107.03605002331354,230,2022-02-25,ORL,HOU
101.19375,227.968428443184,217.58166409627955,1.0818452158716791,0.4027768978933972,230.625,246.14285714285717,109.47597431361473,226,2022-02-26,CHI,MEM
99.19999999999999,223.94123134076648,223.363369038827,1.0598787928344087,0.39186964796344803,222.625,224.57142857142856,105.13997624917333,227,2022-02-26,ATL,TOR
100.09299999999999,215.58126492013272,215.96511801700194,1.0353686442534897,0.3946813213985483,214.75,222.71428571428572,103.63315370926453,217,2022-02-26,DET,BOS
100.34475,223.7226038683943,219.54963021018727,1.0747268027148449,0.3637826803590939,224.25,234.28571428571428,107.84319233672043,262,2022-02-26,MIA,SAS
100.6275,221.32365819101494,225.43518363559267,1.0927160684051298,0.3870592430498426,223.375,232.71428571428572,109.9572861734372,225,2022-02-26,DEN,SAC
98.239,221.73873362668888,218.95409988261582,1.078639771626975,0.3922264067817174,217.325,220.14285714285717,105.96449252486241,178,2022-02-26,CLE,WAS
101.17175,223.4130705741251,223.31880895304835,1.0659741629713246,0.39303580851095155,226.35000000000002,230.0,107.84647152259411,249,2022-02-26,MIL,BKN
97.978,217.5101265628699,216.8705911016021,1.0325303698982702,0.43736389013589894,212.64999999999998,220.14285714285714,101.16526058189271,234,2022-02-27,NYK,PHI
100.346,219.46615573778377,221.1063286666042,1.0610821687566085,0.4034712018014807,220.225,223.0,106.47535130605064,218,2022-02-27,LAL,NOP
98.422,220.71768655749335,209.91805714640878,1.0769028599996497,0.38166635161397455,216.5,221.0,105.99093328688552,208,2022-02-27,GSW,DAL
102.32475,214.4126255097249,224.54448806686693,1.030141586583635,0.37565258469415896,219.05,221.28571428571428,105.4089803117738,253,2022-02-27,CHA,DET
100.1335,219.78496459425438,223.49978569367454,1.0800177350559792,0.39467286432766946,220.22500000000002,226.71428571428572,108.14595587322789,216,2022-02-27,POR,DEN
99.55324999999999,222.394327069562,219.6421937510002,1.0662391599419665,0.39447896623540146,221.225,230.57142857142856,106.14757364949257,235,2022-02-27,IND,BOS
99.99074999999999,229.56982427231327,214.46638781876112,1.109968129479304,0.39728639308265334,228.95,234.71428571428572,110.9865457427327,232,2022-02-27,PHX,UTA
100.99025,215.92569139470385,228.00071830360315,1.0720554920360388,0.39138956535965463,218.4,220.42857142857142,108.26715215459257,197,2022-02-27,HOU,LAC
100.061,223.30894960536563,217.10313298656868,1.0808300361295418,0.3943932780181192,223.7,219.28571428571428,108.14893424515809,249,2022-02-28,CLE,MIN
99.29425,227.2486968826572,220.50704201756832,1.1028023500975952,0.4075560632075466,224.725,233.42857142857144,109.50193225117815,211,2022-02-28,MIA,CHI
100.93225,211.40205908300112,223.6580069873914,1.0210933089439478,0.36632818401435707,213.45,220.57142857142856,103.06124513165777,241,2022-02-28,OKC,SAC
102.39699999999999,223.89469512797575,221.96585131340026,1.0823488631677454,0.38461492797004926,229.325,242.71428571428572,110.8292765417876,236,2022-02-28,MIL,CHA
100.16775000000001,219.91132840696943,222.5919196016278,1.036512963015595,0.36698558441760815,220.6,218.42857142857144,103.82517135110537,230,2022-02-28,BKN,TOR
100.68549999999999,214.4136481131219,227.28426152254968,1.0389018490431665,0.38486618716902476,216.625,224.14285714285714,104.60235212183574,222,2022-02-28,ORL,IND
102.72225,223.70340780307535,217.27442294104554,1.0501005313617964,0.3668104699913969,230.375,246.14285714285714,107.86868930767929,223,2022-02-28,MEM,SAS
101.469,222.18501668121115,217.5351451234874,1.0830167175106629,0.3809801928779072,225.775,226.42857142857144,109.89262330908944,243,2022-03-01,MIN,GSW
100.35425000000001,212.90239722231965,226.87449952748744,1.0215140819172257,0.3888301791981007,213.47500000000002,222.71428571428572,102.51327955524175,229,2022-03-01,WAS,DET
99.511,219.68330742020072,214.79282478122184,1.0731648997243046,0.382141252156839,218.15,219.14285714285714,106.79171233646527,213,2022-03-01,LAL,DAL
99.09625,226.0783593138445,217.32371275144806,1.0853268547780808,0.41194314074910887,223.225,235.14285714285714,107.55182133280239,205,2022-03-01,BOS,ATL
100.28875,220.2292137943485,222.58503296402876,1.0387963356066328,0.3607709707024443,221.175,218.57142857142856,104.17958600256968,217,2022-03-01,TOR,BKN
100.9365,215.34238121195534,227.94885469178683,1.069207571077837,0.3925678041397956,217.8,217.71428571428572,107.9220699980981,213,2022-03-01,HOU,LAC
100.0495,219.53167497052092,225.73057221531207,1.054836153772161,0.41865571656176626,219.725,229.57142857142856,105.5358297668278,220,2022-03-02,NOP,SAC
100.70325,215.12095007667892,227.6813838419752,1.0444247809723484,0.3869840519431395,217.325,228.0,105.17696982445364,236,2022-03-02,ORL,IND
97.96575000000001,217.64002388333154,216.89192115346495,1.0334108635349306,0.4452479842201828,212.75,221.71428571428572,101.23887030434715,231,2022-03-02,PHI,NYK
100.454,223.90296280160243,229.16943037581518,1.097164950439025,0.4241142719735389,225.025,224.0,110.21460793140182,259,2022-03-02,HOU,UTA
99.86375,226.16030236280423,217.24095524547192,1.0927557776255759,0.4153452599469703,225.625,234.71428571428572,109.1266897878561,239,2022-03-02,MIL,MIA
100.477,220.32554993362598,218.63088816707057,1.0646576524941427,0.3891876721403116,220.675,225.14285714285714,106.97360694965398,210,2022-03-02,PHX,POR
100.65125,215.652040800366,218.44952492544957,1.051776327062279,0.36500175708494287,217.425,225.85714285714283,105.86260203922723,226,2022-03-02,DEN,OKC
100.21725,222.31175310849446,216.5857826028725,1.0808903255637707,0.37799258258093515,222.05,227.71428571428572,108.32385597960581,217,2022-03-02,CLE,CHA
98.48025,221.63594138168585,210.56092404322982,1.0814497028566765,0.3862869801967347,217.39999999999998,223.42857142857144,106.50143709975121,235,2022-03-03,DAL,GSW
102.07849999999999,220.29711444912138,228.34603908079964,1.0607262213083863,0.3646605974660063,225.60000000000002,235.14285714285717,108.27734158182811,227,2022-03-03,SAS,SAC
100.6335,224.04737928905462,207.9062849728921,1.0566909030510336,0.393921047657651,224.75,236.0,106.33850399218619,227,2022-03-03,BOS,MEM
100.42975,214.38588571519995,222.26161150078963,1.0114616774254528,0.3700108403992759,215.7,216.0,101.58084339841886,214,2022-03-03,TOR,DET
99.841,223.02606081352104,220.67206146287202,1.0731652839631598,0.3911673223315305,221.925,223.42857142857144,107.14589511616583,220,2022-03-03,BKN,MIA
99.8035,228.00123134222002,227.57192102982873,1.09841457936807,0.42104964188327376,227.275,229.85714285714283,109.62561947196117,254,2022-03-03,ATL,CHI
100.62875,215.81604872943137,218.77320558705958,1.066451140773006,0.3583114555393995,217.225,216.57142857142856,107.31564523206161,243,2022-03-03,LAC,LAL
99.021,227.16438420125542,220.22232694276,1.0896838216215803,0.42931763290568203,224.575,235.85714285714286,107.9015817007905,214,2022-03-04,NOP,UTA
97.71650000000001,222.4013264390419,214.03435654508024,1.075019767435866,0.4373933937396202,216.9,219.71428571428572,105.0471691046468,244,2022-03-04,PHI,CLE
100.8955,228.07882667795326,224.57425053190877,1.1012469870817598,0.41297179294577624,230.175,233.0,111.1108653851077,230,2022-03-04,CHI,MIL
99.316,223.69385688631135,228.09938312115466,1.0757206917367559,0.420288599729035,222.10000000000002,229.28571428571428,106.83627622052765,231,2022-03-04,WAS,ATL
101.45675,220.25335165280512,229.27030348925163,1.09482191275278,0.41470049166073597,224.625,227.28571428571428,111.07707309668062,217,2022-03-04,DEN,HOU
102.04325,216.16711777141992,220.11721782294225,1.0402036647969148,0.3651229655761027,221.125,231.28571428571428,106.14576261778778,239,2022-03-04,OKC,MIN
