Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
368,Dalen Terry,23,2TM,SG,38,0,409,11.5,.519,.451,.186,5.0,12.9,9.0,15.2,2.9,2.3,15.3,14.9,0.0,0.5,0.5,.056,-2.6,1.1,-1.4,0.1,,terryda01
368,Dalen Terry,23,CHI,SG,34,0,377,11.7,.539,.451,.167,5.5,12.5,9.1,15.2,2.8,2.5,16.1,14.6,0.1,0.4,0.5,.061,-2.4,1.1,-1.3,0.1,,terryda01
368,Dalen Terry,23,PHI,SG,4,0,32,8.3,.353,.455,.364,0.0,17.6,8.6,15.9,4.5,0.0,7.3,18.2,-0.1,0.1,0.0,-0.009,-4.8,1.6,-3.1,0.0,,terryda01
369,Jeremy Sochan,22,2TM,PF,37,0,408,9.8,.526,.349,.165,7.3,14.8,11.1,10.6,1.7,1.3,14.6,14.2,0.1,0.6,0.7,.080,-3.6,0.8,-2.8,-0.1,,sochaje01
369,Jeremy Sochan,22,SAS,PF,28,0,358,9.8,.538,.354,.162,8.0,13.7,10.9,10.3,1.3,1.2,14.5,14.6,0.1,0.5,0.6,.082,-3.5,0.4,-3.1,-0.1,,sochaje01
369,Jeremy Sochan,22,NYK,PF,9,0,50,9.8,.414,.300,.200,2.2,22.3,12.1,12.4,3.9,2.0,15.5,11.0,0.0,0.1,0.1,.067,-4.2,3.9,-0.3,0.0,,sochaje01
370,Ariel Hukporti,23,NYK,C,46,4,404,11.2,.617,.068,.475,11.6,24.0,17.8,6.8,1.0,5.8,27.5,10.3,0.2,0.7,0.9,.107,-4.1,1.7,-2.4,0.0,,hukpoar01
371,Cam Christie,20,LAC,SG,43,0,404,9.0,.491,.388,.379,3.9,14.2,9.2,8.6,1.4,0.7,11.2,16.7,-0.1,0.3,0.2,.018,-3.4,-1.2,-4.6,-0.3,,chrisca02
372,Jamison Battle,24,TOR,SF,46,2,390,10.1,.634,.577,.087,4.8,14.9,9.8,5.9,0.6,0.5,12.2,13.5,0.3,0.4,0.7,.082,-1.9,-1.0,-2.9,-0.1,,battlja01
373,Bogdan Bogdanović,33,LAC,SG,18,3,389,8.3,.500,.609,.180,1.9,13.6,7.9,17.5,1.3,0.2,14.8,18.5,-0.2,0.3,0.1,.010,-2.9,-0.8,-3.7,-0.2,,bogdabo01
374,Maxi Kleber,34,LAL,PF,35,1,383,8.5,.545,.367,.367,8.5,11.9,10.2,7.2,1.7,2.4,15.7,9.4,0.2,0.3,0.6,.071,-3.8,0.4,-3.4,-0.1,,klebima01
375,Kam Jones,23,IND,SG,25,6,383,8.1,.493,.414,.081,2.2,7.6,4.8,21.3,1.2,0.0,14.9,13.3,0.0,0.1,0.1,.010,-4.2,-1.9,-6.1,-0.4,,joneska03
376,Ethan Thompson,26,IND,SG,23,5,379,7.4,.483,.624,.147,3.0,9.2,6.0,11.9,1.8,1.4,10.8,14.5,-0.2,0.2,0.1,.009,-4.3,0.1,-4.2,-0.2,,thompet01
377,Branden Carlson,26,OKC,C,35,2,376,15.9,.601,.455,.127,7.2,18.8,13.2,8.0,0.8,4.7,8.4,17.8,0.5,0.7,1.2,.154,-0.2,0.2,0.1,0.2,,carlsbr01
378,Devin Carter,23,SAC,PG,26,2,370,12.3,.462,.384,.318,6.1,13.7,9.8,20.7,2.7,1.2,13.6,22.8,-0.3,0.2,-0.1,-0.013,-3.1,-0.6,-3.7,-0.2,,cartede02
379,Jalen Green,23,PHO,SG,16,11,365,11.5,.465,.483,.169,2.0,13.7,7.7,15.8,2.6,0.3,11.5,33.3,-0.8,0.4,-0.3,-0.046,-2.8,-0.8,-3.6,-0.1,,greenja05
380,Daeqwon Plowden,27,SAC,SG,16,2,363,9.2,.520,.632,.179,5.6,8.9,7.2,7.1,0.8,1.0,5.8,14.2,0.2,0.0,0.2,.028,-3.1,-2.7,-5.8,-0.3,,plowdda01
381,Jeremiah Robinson-Earl,25,2TM,PF,22,3,361,9.5,.468,.410,.180,10.5,20.6,15.4,5.6,1.2,0.2,10.0,14.0,0.0,0.3,0.2,.032,-3.4,-1.8,-5.2,-0.3,,robinje02
381,Jeremiah Robinson-Earl,25,IND,PF,17,3,300,8.7,.443,.398,.169,11.1,21.0,15.9,5.4,1.1,0.3,10.1,14.0,-0.1,0.2,0.1,.017,-3.5,-1.9,-5.4,-0.3,,robinje02
381,Jeremiah Robinson-Earl,25,DAL,PF,5,0,61,13.1,.586,.471,.235,7.1,18.6,13.0,6.7,1.5,0.0,9.6,14.3,0.1,0.1,0.1,.105,-3.0,-1.1,-4.0,0.0,,robinje02
382,Cam Whitmore,21,WAS,SF,21,0,354,13.8,.528,.331,.183,5.6,11.9,8.7,6.6,2.0,2.0,9.0,23.7,-0.1,0.1,0.0,.004,-1.1,-2.2,-3.2,-0.1,,whitmca01
383,Julian Phillips,22,2TM,SF,40,2,354,10.0,.542,.537,.179,6.7,6.5,6.6,2.6,2.7,1.7,7.2,13.2,0.2,0.3,0.5,.064,-2.6,0.3,-2.4,0.0,,phillju01
383,Julian Phillips,22,CHI,SF,35,2,334,9.4,.533,.557,.125,7.1,6.9,7.0,2.8,2.4,1.6,7.0,12.6,0.1,0.3,0.4,.056,-2.8,0.0,-2.9,-0.1,,phillju01
383,Julian Phillips,22,MIN,SF,5,0,20,20.7,.622,.286,.857,0.0,0.0,0.0,0.0,7.2,4.4,9.4,22.4,0.0,0.0,0.1,.195,0.4,5.2,5.6,0.0,,phillju01
384,Pete Nance,25,MIL,PF,31,0,348,14.4,.711,.598,.000,4.2,15.9,10.1,8.0,1.3,1.4,12.1,14.7,0.5,0.2,0.8,.106,0.5,-0.8,-0.4,0.1,,nancepe01
385,Rasheer Fleming,21,PHO,PF,38,0,347,10.7,.518,.619,.127,10.2,11.5,10.8,3.7,1.3,1.9,9.4,16.8,0.1,0.3,0.4,.061,-2.4,-1.6,-3.9,-0.2,,flemira01
386,Sharife Cooper,24,WAS,PG,22,0,344,12.7,.594,.314,.256,3.0,11.3,7.1,23.0,1.0,0.5,18.2,20.0,0.2,0.0,0.2,.027,-2.0,-2.8,-4.8,-0.2,,coopesh01
387,Liam McNeeley,20,CHO,SF,28,0,342,9.4,.566,.659,.352,3.7,15.8,9.9,9.0,0.7,0.8,10.6,14.0,0.4,0.3,0.6,.088,-1.8,-0.3,-2.2,0.0,,mcneeli01
388,Larry Nance Jr.,33,CLE,PF,27,2,342,8.1,.458,.526,.053,7.3,15.4,11.4,9.6,2.1,1.1,11.0,13.4,0.0,0.4,0.4,.054,-4.6,0.7,-4.0,-0.2,,nancela02
389,Isaiah Livers,27,PHO,PF,32,0,331,8.2,.490,.639,.197,6.1,14.1,10.0,8.2,1.8,2.3,15.3,10.0,0.1,0.4,0.4,.064,-3.3,1.1,-2.2,0.0,,liveris01
390,AJ Johnson,21,2TM,SG,36,0,324,4.4,.397,.350,.183,2.9,11.1,7.0,13.3,1.2,0.0,15.1,19.7,-0.8,0.1,-0.7,-0.110,-6.7,-2.7,-9.5,-0.6,,johnsaj01
390,AJ Johnson,21,WAS,SG,25,0,214,4.4,.396,.301,.145,3.9,11.6,7.7,14.0,1.6,0.0,16.9,20.7,-0.6,0.0,-0.6,-0.131,-7.2,-3.4,-10.6,-0.5,,johnsaj01
390,AJ Johnson,21,DAL,SG,11,0,110,4.4,.399,.459,.270,1.0,10.3,5.8,11.9,0.4,0.0,10.8,17.7,-0.2,0.1,-0.2,-0.068,-5.9,-1.4,-7.3,-0.1,,johnsaj01
391,Kelly Olynyk,34,SAS,C,36,0,322,12.4,.584,.483,.345,7.2,14.0,10.7,16.8,1.9,0.5,18.0,16.0,0.3,0.5,0.8,.112,-1.8,0.9,-1.0,0.1,,olynyke01
392,Terrence Shannon Jr.,25,MIN,SG,27,0,322,6.0,.526,.461,.348,2.1,7.4,4.8,6.0,1.2,0.3,14.2,15.7,-0.1,0.2,0.1,.018,-5.6,-1.1,-6.7,-0.4,,shannte01
393,Nick Smith Jr.,21,LAL,SG,25,1,318,9.2,.530,.519,.083,0.8,6.4,3.7,12.7,1.4,0.6,12.1,21.5,-0.2,0.1,0.0,-0.006,-2.8,-2.4,-5.2,-0.3,,smithni01
394,Trae Young,27,2TM,PG,12,12,317,20.6,.590,.460,.580,0.7,6.5,3.6,47.0,1.8,0.3,14.9,29.1,0.8,0.2,1.0,.157,4.0,-1.9,2.1,0.3,,youngtr01
394,Trae Young,27,ATL,PG,10,10,280,19.9,.577,.437,.541,0.0,5.8,2.9,45.5,1.7,0.3,13.5,28.7,0.7,0.2,0.9,.154,3.4,-1.9,1.5,0.3,,youngtr01
394,Trae Young,27,WAS,PG,2,2,37,26.2,.685,.667,.933,5.7,11.6,8.6,58.7,2.6,0.0,24.9,31.8,0.1,0.0,0.1,.184,7.9,-1.6,6.3,0.1,,youngtr01
395,Christian Koloko,25,3TM,C,22,4,311,9.2,.459,.082,.164,9.7,15.0,12.3,5.7,2.0,6.2,15.5,10.4,-0.1,0.4,0.4,.055,-5.3,1.5,-3.8,-0.1,,kolokch01
395,Christian Koloko,25,LAL,C,2,0,6,-0.4,,,,0.0,18.9,9.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.022,-6.8,-1.7,-8.4,0.0,,kolokch01
395,Christian Koloko,25,MEM,C,11,2,195,9.0,.394,.029,.114,10.5,13.8,12.2,6.4,2.4,6.2,16.0,9.3,-0.1,0.3,0.2,.043,-4.7,1.8,-2.9,0.0,,kolokch01
395,Christian Koloko,25,ATL,C,9,2,110,9.9,.541,.154,.231,8.7,16.8,12.7,4.6,1.3,6.5,14.9,12.7,0.0,0.2,0.2,.078,-6.3,1.1,-5.2,-0.1,,kolokch01
396,Jahmai Mashack,23,MEM,SG,19,3,310,7.2,.471,.426,.064,3.5,7.7,5.6,8.2,3.4,2.4,16.4,15.5,-0.4,0.4,-0.1,-0.011,-6.1,0.2,-5.9,-0.3,,mashaja01
397,Myron Gardner,24,MIA,SF,33,6,307,17.0,.613,.521,.240,10.3,21.7,16.0,14.6,2.1,1.5,7.0,15.1,0.8,0.5,1.3,.204,0.3,2.1,2.5,0.3,,gardnmy01
398,Scoot Henderson,21,POR,PG,13,3,301,11.5,.521,.507,.343,3.5,9.9,6.6,29.0,0.8,1.2,17.8,26.4,0.0,0.1,0.1,.021,-2.5,-2.2,-4.7,-0.2,,hendesc01
399,Moritz Wagner,28,ORL,C,23,0,300,18.8,.589,.380,.431,7.3,21.6,14.4,10.4,2.1,0.3,7.4,24.9,0.6,0.4,1.0,.163,0.6,-0.2,0.5,0.2,,wagnemo01
400,Taelon Peter,23,IND,SG,27,0,294,8.5,.493,.883,.106,2.1,11.5,6.6,14.1,2.3,1.2,14.0,16.4,-0.2,0.2,0.0,-0.004,-3.4,-0.6,-4.0,-0.2,,peterta01
401,Blake Wesley,22,POR,SG,21,0,292,11.2,.515,.306,.337,2.5,8.3,5.4,26.0,2.6,0.9,18.2,19.1,0.0,0.3,0.2,.039,-3.2,0.1,-3.1,-0.1,,weslebl01
402,Jae'Sean Tate,30,HOU,SF,34,0,287,11.0,.567,.308,.090,8.6,9.5,9.1,8.0,1.6,1.0,11.0,13.3,0.3,0.3,0.6,.102,-2.9,-0.2,-3.1,-0.1,,tateja01
403,Zach Edey,23,MEM,C,11,11,284,20.7,.669,.051,.327,16.3,30.0,23.2,6.5,1.2,6.9,18.8,20.2,0.4,0.5,0.9,.148,-0.5,1.2,0.7,0.2,,edeyza01
404,Yang Hansen,20,POR,C,38,1,276,3.3,.402,.430,.312,7.3,15.5,11.3,10.7,0.5,2.9,22.1,19.9,-0.7,0.2,-0.5,-0.094,-8.8,-0.9,-9.7,-0.5,,yangha01
405,Malaki Branham,22,WAS,SG,28,0,275,14.2,.604,.407,.374,4.6,12.5,8.5,11.9,1.7,1.0,12.4,18.4,0.3,0.1,0.4,.069,-0.8,-1.5,-2.3,0.0,,branhma01
406,Brooks Barnhizer,23,OKC,SG,33,0,259,7.0,.446,.340,.120,4.8,18.5,11.9,8.6,1.1,1.5,13.2,10.1,-0.1,0.5,0.4,.072,-4.1,1.3,-2.8,-0.1,,barnhbr01
407,Duop Reath,29,POR,C,32,0,258,10.7,.613,.743,.081,4.1,11.9,7.9,5.4,0.9,2.8,8.4,13.1,0.3,0.2,0.5,.094,-0.8,-0.2,-1.0,0.1,,reathdu01
408,Kevon Looney,29,NOP,C,18,6,251,13.5,.468,.173,.154,17.9,23.6,20.7,12.8,1.1,3.4,12.6,10.5,0.3,0.2,0.5,.103,-1.4,-0.8,-2.3,0.0,,looneke01
409,KJ Simpson,23,2TM,PG,17,2,246,8.7,.428,.406,.188,3.8,11.7,7.8,24.2,3.2,0.0,18.8,22.0,-0.4,0.3,-0.1,-0.023,-5.0,0.4,-4.6,-0.2,,simpskj01
409,KJ Simpson,23,CHO,PG,14,2,223,7.9,.437,.438,.180,2.6,11.9,7.3,22.2,3.3,0.0,20.0,22.7,-0.5,0.3,-0.2,-0.039,-5.6,0.1,-5.4,-0.2,,simpskj01
409,KJ Simpson,23,DEN,PG,3,0,23,16.7,.317,.000,.286,15.4,9.4,12.3,43.9,2.1,0.0,0.0,14.9,0.1,0.0,0.1,.137,0.6,2.7,3.4,0.0,,simpskj01
410,Marcus Sasser,25,DET,PG,22,2,236,14.3,.572,.616,.151,1.4,8.3,4.9,23.6,3.5,0.8,15.6,19.0,0.2,0.4,0.6,.128,-0.7,1.7,1.0,0.2,,sassema01
411,Pat Connaughton,33,CHO,SG,30,0,234,13.9,.602,.620,.225,5.9,16.5,11.3,10.3,1.5,0.4,10.3,15.7,0.4,0.2,0.6,.119,0.6,-0.1,0.5,0.1,,connapa01
412,Chris Paul,40,LAC,PG,16,0,228,8.2,.413,.536,.036,3.2,10.9,7.1,31.2,2.4,0.0,22.0,14.2,-0.1,0.2,0.1,.016,-3.9,-0.3,-4.2,-0.1,,paulch01
413,Lindy Waters III,28,SAS,SG,34,0,222,7.6,.534,.879,.015,1.5,8.9,5.3,8.1,1.1,0.4,7.0,13.6,0.1,0.2,0.3,.065,-2.4,-0.1,-2.5,0.0,,waterli01
414,Bronny James,21,LAL,SG,31,1,222,9.6,.506,.460,.079,2.2,5.6,4.0,22.0,2.4,0.8,17.7,15.6,0.0,0.2,0.2,.033,-2.5,-0.9,-3.5,-0.1,,jamesbr02
415,Ty Jerome,28,MEM,SG,10,10,216,28.2,.636,.473,.374,3.5,10.5,7.0,43.4,3.1,0.9,9.5,32.4,0.9,0.2,1.2,.261,8.2,0.6,8.8,0.6,,jeromty01
416,PJ Hall,23,2TM,C,19,2,214,15.9,.599,.085,.492,17.6,21.6,19.6,6.6,0.7,4.3,18.2,17.3,0.3,0.3,0.5,.122,-1.5,-0.9,-2.4,0.0,,hallpj01
416,PJ Hall,23,MEM,C,7,0,27,18.9,.630,.333,.333,12.0,24.0,18.0,10.9,0.0,6.9,8.8,17.4,0.1,0.0,0.1,.165,1.8,0.1,1.9,0.0,,hallpj01
416,PJ Hall,23,CHO,C,12,2,187,15.4,.594,.040,.520,18.4,21.3,19.9,6.0,0.8,3.9,19.6,17.3,0.2,0.2,0.5,.116,-2.0,-1.0,-3.0,0.0,,hallpj01
417,Scotty Pippen Jr.,25,MEM,PG,10,6,212,14.8,.537,.333,.240,4.1,7.1,5.6,33.4,4.2,1.7,20.3,26.1,-0.1,0.3,0.2,.041,-2.5,-0.2,-2.7,0.0,,pippesc02
